"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/2021","369.62","368.98","371.05","368.42","","0.21%"
"10/26/2021","368.84","369.13","370.17","367.39","","-0.17%"
"10/25/2021","369.47","370.11","370.90","367.93","","-0.25%"
"10/22/2021","370.40","370.44","371.50","369.94","","0.15%"
"10/21/2021","369.83","371.14","371.14","368.95","","-0.18%"
"10/20/2021","370.48","373.01","373.02","370.01","","-0.27%"
"10/19/2021","371.47","369.97","372.15","368.76","","1.08%"
"10/18/2021","367.50","367.09","368.00","365.87","","0.11%"
"10/15/2021","367.08","366.90","367.45","365.89","","0.51%"
"10/14/2021","365.20","363.87","366.34","362.37","","-0.01%"
"10/13/2021","365.23","358.72","365.51","358.71","","2.18%"
"10/12/2021","357.45","355.70","358.10","354.04","","0.13%"
"10/11/2021","356.99","358.06","359.11","356.99","","-0.28%"
"10/08/2021","357.98","358.46","359.12","356.23","","0.20%"
"10/07/2021","357.28","356.27","358.31","356.14","","0.85%"
"10/06/2021","354.27","355.04","355.83","353.23","","0.23%"
"10/05/2021","353.47","353.49","353.87","350.91","","-0.56%"
"10/04/2021","355.46","354.75","357.17","354.31","","1.19%"
"10/01/2021","351.29","353.15","353.66","349.93","","-1.00%"
"09/30/2021","354.84","354.27","355.65","353.75","","0.43%"
"09/29/2021","353.31","355.16","355.72","352.56","","-0.35%"
"09/28/2021","354.56","357.77","359.42","354.25","","-1.35%"
"09/27/2021","359.40","356.59","360.46","356.21","","1.19%"
"09/24/2021","355.19","358.56","358.56","354.58","","-0.50%"
"09/23/2021","356.98","354.84","358.15","354.84","","0.89%"
"09/22/2021","353.84","352.70","354.10","351.60","","-0.18%"
"09/21/2021","354.47","352.15","355.28","352.14","","0.64%"
"09/20/2021","352.20","355.06","356.08","351.25","","-0.97%"
"09/17/2021","355.66","353.61","356.53","353.61","","0.32%"
"09/16/2021","354.51","354.01","354.80","353.45","","0.35%"
"09/15/2021","353.28","353.33","353.91","352.04","","-0.44%"
"09/14/2021","354.83","353.95","355.00","353.11","","0.69%"
"09/13/2021","352.40","354.26","354.54","351.31","","-0.75%"
"09/10/2021","355.06","353.16","356.55","352.13","","1.05%"
"09/09/2021","351.38","353.46","355.14","350.76","","-0.67%"
"09/08/2021","353.75","356.90","357.14","353.51","","-1.38%"
"09/07/2021","358.69","357.75","359.77","356.39","","-0.18%"
"09/06/2021","359.35","356.65","359.48","356.09","","0.68%"
"09/03/2021","356.91","355.63","356.96","354.28","","0.45%"
"09/02/2021","355.32","356.05","356.32","354.02","","0.01%"
"09/01/2021","355.27","352.06","356.39","352.06","","0.88%"
"08/31/2021","352.17","355.65","355.66","350.96","","-1.37%"
"08/30/2021","357.05","355.43","357.77","355.43","","0.80%"
"08/27/2021","354.21","355.24","355.90","353.79","","-1.03%"
"08/26/2021","357.88","358.32","358.76","356.87","","0.11%"
"08/25/2021","357.49","359.15","359.82","356.55","","0.10%"
"08/24/2021","357.13","358.00","358.60","357.02","","0.36%"
"08/23/2021","355.84","359.14","359.14","355.60","","-0.49%"
"08/20/2021","357.59","358.69","359.75","357.56","","0.46%"
"08/19/2021","355.94","358.63","358.88","355.56","","-1.40%"
"08/18/2021","360.98","359.05","364.33","359.05","","0.49%"
"08/17/2021","359.21","360.89","361.99","358.04","","-0.80%"
"08/16/2021","362.09","362.06","364.13","361.43","","-0.86%"
"08/13/2021","365.23","365.47","366.30","364.23","","-0.65%"
"08/12/2021","367.62","368.06","368.81","366.96","","0.27%"
"08/11/2021","366.63","369.66","369.99","366.08","","-0.90%"
"08/10/2021","369.95","366.14","370.30","366.14","","1.05%"
"08/09/2021","366.12","366.03","366.24","365.88","","0.04%"
"08/06/2021","365.99","365.77","366.56","364.80","","0.00%"
"08/05/2021","365.98","366.75","367.63","364.67","","-0.06%"
"08/04/2021","366.20","361.93","366.64","361.07","","1.34%"
"08/03/2021","361.34","361.58","361.66","358.36","","-0.31%"
"08/02/2021","362.45","364.43","364.53","360.18","","-0.19%"
"07/30/2021","363.13","363.28","365.91","362.96","","-0.35%"
"07/29/2021","364.39","362.15","364.51","359.84","","1.54%"
"07/28/2021","358.85","359.63","359.63","355.78","","0.34%"
"07/27/2021","357.63","359.62","361.50","357.22","","-0.17%"
"07/26/2021","358.24","360.21","360.47","356.94","","-0.63%"
"07/23/2021","360.50","361.05","361.47","359.29","","-0.09%"
"07/22/2021","360.81","357.62","361.57","357.09","","1.48%"
"07/21/2021","355.54","356.25","356.70","353.44","","0.30%"
"07/20/2021","354.48","354.38","354.55","354.24","","0.06%"
"07/19/2021","354.27","353.63","355.69","353.63","","-1.22%"
