"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2016","2,096.10","2,109.60","2,109.60","2,090.00","","-0.92%"
"06/09/2016","2,115.50","2,115.70","2,117.60","2,107.70","","-0.17%"
"06/08/2016","2,119.10","2,112.70","2,120.60","2,112.70","","0.33%"
"06/07/2016","2,112.10","2,110.20","2,119.20","2,110.20","","0.13%"
"06/06/2016","2,109.40","2,100.80","2,113.40","2,100.80","","0.49%"
"06/03/2016","2,099.10","2,104.10","2,104.10","2,085.40","","-0.29%"
"06/02/2016","2,105.30","2,097.70","2,105.30","2,088.60","","0.29%"
"06/01/2016","2,099.30","2,093.90","2,101.00","2,085.10","","0.11%"
"05/31/2016","2,097.00","2,100.10","2,103.50","2,088.70","","-0.10%"
"05/27/2016","2,099.10","2,090.10","2,099.10","2,090.10","","0.43%"
"05/26/2016","2,090.10","2,091.40","2,094.30","2,087.10","","-0.02%"
"05/25/2016","2,090.50","2,078.90","2,094.70","2,078.90","","0.69%"
"05/24/2016","2,076.10","2,052.70","2,079.70","2,052.70","","1.37%"
"05/23/2016","2,048.00","2,052.20","2,055.60","2,047.30","","-0.21%"
"05/20/2016","2,052.30","2,041.90","2,058.30","2,041.90","","0.60%"
"05/19/2016","2,040.00","2,044.20","2,044.20","2,025.90","","-0.37%"
"05/18/2016","2,047.60","2,044.40","2,060.60","2,034.50","","0.02%"
"05/17/2016","2,047.20","2,065.00","2,065.70","2,040.80","","-0.94%"
"05/16/2016","2,066.70","2,046.50","2,071.90","2,046.50","","0.98%"
"05/13/2016","2,046.60","2,062.50","2,066.80","2,043.10","","-0.85%"
"05/12/2016","2,064.10","2,067.20","2,074.00","2,053.10","","-0.02%"
"05/11/2016","2,064.50","2,083.30","2,083.30","2,064.50","","-0.95%"
"05/10/2016","2,084.40","2,062.60","2,084.90","2,062.60","","1.25%"
"05/09/2016","2,058.70","2,057.60","2,064.20","2,054.30","","0.08%"
"05/06/2016","2,057.10","2,047.80","2,057.70","2,039.50","","0.32%"
"05/05/2016","2,050.60","2,052.90","2,060.20","2,045.80","","-0.02%"
"05/04/2016","2,051.10","2,060.30","2,060.30","2,045.50","","-0.60%"
"05/03/2016","2,063.40","2,077.20","2,077.20","2,054.90","","-0.86%"
"05/02/2016","2,081.40","2,067.20","2,083.40","2,066.10","","0.78%"
"04/29/2016","2,065.30","2,071.80","2,073.80","2,052.30","","-0.51%"
"04/28/2016","2,075.80","2,090.90","2,099.30","2,071.60","","-0.93%"
"04/27/2016","2,095.20","2,092.30","2,099.90","2,082.30","","0.17%"
"04/26/2016","2,091.70","2,089.80","2,096.90","2,085.80","","0.19%"
"04/25/2016","2,087.80","2,089.40","2,089.40","2,077.50","","-0.18%"
"04/22/2016","2,091.60","2,091.50","2,094.30","2,081.20","","0.00%"
"04/21/2016","2,091.50","2,102.10","2,103.80","2,088.50","","-0.52%"
"04/20/2016","2,102.40","2,101.50","2,111.10","2,096.30","","0.08%"
"04/19/2016","2,100.80","2,096.10","2,104.10","2,091.70","","0.31%"
"04/18/2016","2,094.30","2,078.80","2,094.70","2,073.70","","0.65%"
"04/15/2016","2,080.70","2,083.10","2,083.20","2,076.30","","-0.10%"
