"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2016","5,467.40","5,483.00","5,493.10","5,457.20","616.84M","-0.28%"
"10/06/2016","5,483.00","5,452.90","5,485.80","5,452.90","632.15M","0.55%"
"10/05/2016","5,452.90","5,484.00","5,484.00","5,439.80","654.60M","-0.57%"
"10/04/2016","5,484.00","5,478.50","5,484.00","5,448.30","570.96M","0.10%"
"10/03/2016","5,478.50","5,435.90","5,492.10","5,435.90","311.28M","0.78%"
"09/30/2016","5,435.90","5,471.30","5,471.30","5,417.70","656.49M","-0.65%"
"09/29/2016","5,471.30","5,412.40","5,473.30","5,412.40","578.65M","1.09%"
"09/28/2016","5,412.40","5,405.90","5,435.00","5,399.10","554.30M","0.12%"
"09/27/2016","5,405.90","5,431.40","5,431.40","5,372.30","642.52M","-0.47%"
"09/26/2016","5,431.40","5,431.30","5,436.10","5,407.60","480.10M","0.00%"
"09/23/2016","5,431.30","5,374.50","5,434.30","5,373.90","772.40M","1.06%"
"09/22/2016","5,374.50","5,339.60","5,391.90","5,339.60","567.86M","0.65%"
"09/21/2016","5,339.60","5,303.60","5,345.50","5,303.10","637.26M","0.68%"
"09/20/2016","5,303.60","5,294.80","5,307.60","5,276.30","677.29M","0.17%"
"09/19/2016","5,294.80","5,296.70","5,301.20","5,273.00","134.53M","-0.04%"
"09/16/2016","5,296.70","5,239.90","5,306.10","5,239.90","892.93M","1.08%"
"09/15/2016","5,239.90","5,227.70","5,242.50","5,204.00","758.40M","0.23%"
"09/14/2016","5,227.70","5,207.80","5,230.60","5,192.20","783.04M","0.38%"
"09/13/2016","5,207.80","5,219.60","5,276.10","5,207.80","714.50M","-0.23%"
"09/12/2016","5,219.60","5,339.20","5,339.20","5,215.00","669.16M","-2.24%"
"09/09/2016","5,339.20","5,385.80","5,385.80","5,332.40","623.03M","-0.87%"
"09/08/2016","5,385.80","5,424.20","5,424.20","5,358.00","664.30M","-0.71%"
"09/07/2016","5,424.30","5,413.60","5,440.20","5,410.60","746.36M","0.20%"
"09/06/2016","5,413.60","5,429.60","5,430.30","5,404.40","514.84M","-0.29%"
"09/05/2016","5,429.60","5,372.80","5,431.10","5,372.80","562.08M","1.06%"
"09/02/2016","5,372.80","5,415.60","5,418.90","5,361.70","669.41M","-0.79%"
"09/01/2016","5,415.60","5,433.00","5,433.00","5,405.70","540.52M","-0.32%"
"08/31/2016","5,433.00","5,478.30","5,478.30","5,412.60","732.16M","-0.83%"
"08/30/2016","5,478.30","5,469.20","5,504.00","5,469.20","596.21M","0.17%"
"08/29/2016","5,469.20","5,515.50","5,516.70","5,452.30","543.46M","-0.84%"
"08/26/2016","5,515.50","5,541.90","5,544.40","5,513.70","605.39M","-0.48%"
"08/25/2016","5,541.90","5,561.70","5,562.40","5,535.40","635.02M","-0.36%"
"08/24/2016","5,561.70","5,553.80","5,569.10","5,552.50","596.68M","0.14%"
"08/23/2016","5,553.80","5,515.10","5,574.00","5,515.10","630.95M","0.70%"
"08/22/2016","5,515.10","5,526.70","5,537.40","5,508.70","575.87M","-0.21%"
"08/19/2016","5,526.70","5,507.80","5,533.10","5,504.50","566.63M","0.34%"
"08/18/2016","5,507.80","5,535.00","5,546.00","5,498.70","614.91M","-0.49%"
"08/17/2016","5,535.00","5,532.00","5,537.90","5,506.70","607.48M","0.05%"
"08/16/2016","5,532.00","5,540.00","5,549.80","5,530.10","555.81M","-0.14%"
"08/15/2016","5,540.00","5,530.90","5,545.20","5,510.80","469.21M","0.16%"
"08/12/2016","5,530.90","5,508.00","5,549.10","5,506.20","623.02M","0.42%"
"08/11/2016","5,508.00","5,543.70","5,543.70","5,483.70","509.92M","-0.64%"
"08/10/2016","5,543.70","5,552.50","5,552.50","5,513.20","559.72M","-0.16%"
"08/09/2016","5,552.50","5,537.80","5,553.80","5,536.20","546.41M","0.27%"
"08/08/2016","5,537.80","5,497.40","5,549.60","5,497.40","462.17M","0.73%"
"08/05/2016","5,497.40","5,475.80","5,512.50","5,475.80","477.34M","0.39%"
"08/04/2016","5,475.80","5,465.70","5,509.20","5,465.70","558.51M","0.18%"
"08/03/2016","5,465.70","5,539.30","5,539.30","5,465.70","659.20M","-1.35%"
"08/02/2016","5,540.50","5,587.40","5,592.10","5,539.30","644.78M","-0.84%"
"08/01/2016","5,587.40","5,562.40","5,611.20","5,562.40","419.01M","0.45%"
"07/29/2016","5,562.40","5,556.60","5,570.40","5,536.90","778.53M","0.10%"
"07/28/2016","5,556.60","5,539.70","5,564.00","5,538.80","538.57M","0.31%"
"07/27/2016","5,539.70","5,537.50","5,564.60","5,530.00","524.10M","0.04%"
"07/26/2016","5,537.50","5,530.20","5,537.50","5,498.20","545.33M","0.07%"
"07/25/2016","5,533.60","5,498.20","5,548.50","5,498.20","473.04M","0.64%"
"07/22/2016","5,498.20","5,512.60","5,512.60","5,477.90","524.41M","-0.26%"
