"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2022","21,787.46","21,797.29","21,886.13","21,698.04","256.75M","-0.05%"
"02/07/2022","21,797.29","21,712.04","21,875.11","21,710.32","236.02M","0.39%"
"02/04/2022","21,712.04","21,967.78","22,100.03","21,712.04","225.94M","-1.16%"
"02/03/2022","21,967.78","22,249.40","22,275.78","21,967.78","256.05M","-1.27%"
"02/02/2022","22,249.40","22,167.94","22,416.77","22,167.94","265.66M","0.37%"
"02/01/2022","22,167.94","21,926.62","22,269.31","21,926.62","318.19M","1.10%"
"01/31/2022","21,926.62","21,643.30","21,949.19","21,643.30","313.06M","1.31%"
"01/28/2022","21,643.30","21,854.57","21,861.01","21,568.59","416.07M","-0.97%"
"01/27/2022","21,854.57","21,873.08","21,918.98","21,574.47","292.42M","-0.08%"
"01/26/2022","21,873.08","21,645.71","22,039.87","21,645.71","276.98M","1.05%"
"01/25/2022","21,645.71","21,452.50","21,805.73","21,449.26","324.55M","0.90%"
"01/24/2022","21,452.50","22,263.24","22,263.24","21,349.66","460.04M","-3.64%"
"01/21/2022","22,263.24","22,714.98","22,714.98","22,137.52","321.11M","-1.99%"
"01/20/2022","22,714.98","22,655.02","22,745.21","22,645.08","303.24M","0.26%"
"01/19/2022","22,655.02","22,652.71","22,750.32","22,499.53","355.69M","0.01%"
"01/18/2022","22,652.71","22,871.64","22,873.49","22,562.73","369.45M","-0.96%"
"01/17/2022","22,871.64","22,743.35","22,933.08","22,721.98","266.26M","0.56%"
"01/14/2022","22,743.35","22,958.48","22,960.06","22,732.93","258.76M","-0.94%"
"01/13/2022","22,958.48","23,047.16","23,066.50","22,948.13","309.26M","-0.38%"
"01/12/2022","23,047.16","23,028.18","23,183.21","23,027.10","250.19M","0.08%"
"01/11/2022","23,028.18","23,001.81","23,220.76","22,995.93","297.89M","0.11%"
"01/10/2022","23,001.81","23,353.25","23,419.85","22,955.43","286.39M","-1.50%"
"01/07/2022","23,353.25","23,416.92","23,429.24","23,244.52","214.58M","-0.27%"
"01/06/2022","23,416.92","23,771.18","23,771.18","23,319.87","281.14M","-1.49%"
"01/05/2022","23,771.18","23,896.65","23,943.71","23,754.15","276.13M","-0.53%"
"01/04/2022","23,896.65","23,480.81","24,006.60","23,480.81","354.79M","1.77%"
"12/31/2021","23,480.81","23,539.55","23,555.21","23,478.67","75.57M","-0.25%"
"12/30/2021","23,539.55","23,517.27","23,555.58","23,469.94","129.69M","0.09%"
"12/29/2021","23,517.27","23,270.43","23,620.11","23,270.43","216.21M","1.06%"
"12/24/2021","23,270.43","23,266.75","23,336.07","23,258.38","56.77M","0.02%"
"12/23/2021","23,266.75","23,080.79","23,300.10","23,078.85","171.20M","0.81%"
"12/22/2021","23,080.79","22,820.30","23,080.79","22,704.98","223.03M","1.14%"
"12/21/2021","22,820.30","22,549.88","22,863.26","22,549.88","239.67M","1.20%"
"12/20/2021","22,549.88","22,780.38","22,780.38","22,306.12","224.44M","-1.01%"
"12/17/2021","22,780.38","22,647.96","22,795.95","22,607.23","642.79M","0.58%"
"12/16/2021","22,647.96","22,433.88","22,787.38","22,433.88","303.29M","0.95%"
"12/15/2021","22,433.88","22,550.69","22,586.20","22,433.66","504.75M","-0.52%"
"12/14/2021","22,550.69","22,647.22","22,802.12","22,550.69","412.97M","-0.43%"
"12/13/2021","22,647.22","22,927.71","22,981.67","22,647.22","285.98M","-1.22%"
"12/10/2021","22,927.71","23,148.04","23,151.46","22,916.40","266.24M","-0.95%"
"12/09/2021","23,148.04","23,230.43","23,328.80","23,122.65","302.34M","-0.35%"
"12/08/2021","23,230.43","23,238.17","23,378.47","23,192.25","317.79M","-0.03%"
"12/07/2021","23,238.17","22,881.33","23,268.26","22,881.33","282.61M","1.56%"
"12/06/2021","22,881.33","22,646.08","22,887.82","22,641.69","224.87M","1.04%"
"12/03/2021","22,646.08","22,684.84","22,852.21","22,598.60","250.18M","-0.17%"
"12/02/2021","22,684.84","22,912.73","22,912.73","22,642.88","1.23B","-0.99%"
"12/01/2021","22,912.73","22,519.72","22,919.09","22,519.72","425.23M","1.75%"
"11/30/2021","22,519.72","22,756.33","22,757.21","22,453.56","646.69M","-1.04%"
"11/29/2021","22,756.33","22,537.89","22,933.09","22,537.89","357.48M","0.97%"
"11/26/2021","22,537.89","23,279.96","23,279.96","22,537.89","414.68M","-3.19%"
"11/25/2021","23,279.96","23,167.06","23,304.50","23,167.06","256.44M","0.49%"
"11/24/2021","23,167.06","23,221.61","23,271.13","23,078.67","253.05M","-0.23%"
"11/23/2021","23,221.61","23,429.70","23,431.22","23,182.99","282.45M","-0.89%"
"11/22/2021","23,429.70","23,492.49","23,590.11","23,401.51","280.24M","-0.27%"
"11/19/2021","23,492.49","23,574.62","23,669.47","23,408.13","357.13M","-0.35%"
"11/18/2021","23,574.62","23,434.07","23,574.62","23,417.65","254.17M","0.60%"
"11/17/2021","23,434.07","23,539.71","23,559.22","23,379.22","351.04M","-0.45%"
"11/16/2021","23,539.71","23,621.58","23,661.33","23,531.52","305.43M","-0.35%"
"11/15/2021","23,621.58","23,557.52","23,670.71","23,532.12","246.45M","0.27%"
"11/12/2021","23,557.52","23,574.05","23,600.00","23,493.39","269.09M","-0.07%"
"11/11/2021","23,574.05","23,433.25","23,584.14","23,407.07","326.11M","0.60%"
"11/10/2021","23,433.25","23,367.14","23,474.56","23,367.14","387.96M","0.28%"
"11/09/2021","23,367.14","23,539.92","23,607.63","23,367.14","325.05M","-0.73%"
"11/08/2021","23,539.92","23,596.79","23,669.82","23,528.40","252.93M","-0.24%"
"11/05/2021","23,596.79","23,471.11","23,722.07","23,469.76","288.22M","0.54%"
"11/04/2021","23,471.11","23,116.97","23,565.07","23,116.97","343.58M","1.53%"
"11/03/2021","23,116.97","23,140.00","23,166.67","23,069.08","274.24M","-0.10%"
"11/02/2021","23,140.00","23,211.22","23,212.78","23,140.00","287.00M","-0.31%"
"11/01/2021","23,211.22","23,106.61","23,257.56","23,105.61","224.61M","0.45%"
"10/29/2021","23,106.61","23,199.87","23,205.17","23,043.39","305.43M","-0.40%"
"10/28/2021","23,199.87","23,172.04","23,241.35","23,083.48","228.51M","0.12%"
"10/27/2021","23,172.04","23,161.27","23,210.34","23,110.57","284.57M","0.05%"
"10/26/2021","23,161.27","22,941.78","23,162.94","22,929.38","328.51M","0.96%"
"10/25/2021","22,941.78","22,931.66","23,001.40","22,920.98","313.09M","0.04%"
"10/22/2021","22,931.66","22,917.05","22,976.86","22,888.96","287.42M","0.06%"
"10/21/2021","22,917.05","22,966.67","22,990.53","22,856.88","301.55M","-0.22%"
"10/20/2021","22,966.67","23,054.09","23,078.25","22,947.69","315.24M","-0.38%"
"10/19/2021","23,054.09","22,968.74","23,083.14","22,966.04","264.74M","0.37%"
"10/18/2021","22,968.74","22,984.24","22,999.18","22,919.59","261.56M","-0.07%"
"10/15/2021","22,984.24","22,860.39","22,985.87","22,860.39","330.39M","0.54%"
"10/14/2021","22,860.39","22,635.27","22,887.70","22,635.27","330.46M","0.99%"
