"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2019","1,715.46","1,714.70","1,723.59","1,708.79","43.88M","0.63%"
"08/26/2019","1,704.73","1,702.71","1,710.65","1,697.81","27.13M","-1.51%"
"08/23/2019","1,730.84","1,722.53","1,735.70","1,721.43","20.10M","0.05%"
"08/22/2019","1,729.89","1,746.58","1,748.23","1,729.84","29.60M","-0.91%"
"08/21/2019","1,745.75","1,738.09","1,754.60","1,737.71","25.21M","0.03%"
"08/20/2019","1,745.20","1,727.25","1,748.79","1,722.31","27.48M","1.24%"
"08/19/2019","1,723.75","1,728.63","1,730.24","1,720.43","23.01M","0.25%"
"08/16/2019","1,719.50","1,711.46","1,719.50","1,702.06","30.48M","-0.30%"
"08/14/2019","1,724.74","1,729.48","1,737.34","1,722.59","32.77M","1.03%"
"08/13/2019","1,707.18","1,713.06","1,719.78","1,706.46","28.69M","-1.09%"
"08/12/2019","1,726.06","1,727.25","1,733.33","1,719.99","27.13M","0.29%"
"08/09/2019","1,721.06","1,721.08","1,729.92","1,717.22","34.02M","1.11%"
"08/08/2019","1,702.11","1,718.79","1,724.87","1,702.11","53.83M","-0.18%"
"08/07/2019","1,705.23","1,720.87","1,723.56","1,700.16","38.26M","-0.47%"
"08/06/2019","1,713.21","1,696.18","1,734.73","1,694.35","55.65M","-1.53%"
"08/05/2019","1,739.89","1,762.37","1,764.35","1,736.32","52.42M","-2.05%"
"08/02/2019","1,776.35","1,771.13","1,782.80","1,766.89","45.22M","-0.92%"
"08/01/2019","1,792.78","1,787.20","1,803.78","1,785.24","30.88M","-0.19%"
"07/31/2019","1,796.13","1,812.59","1,817.28","1,787.96","50.02M","-1.20%"
"07/30/2019","1,817.98","1,816.11","1,822.95","1,814.35","22.84M","0.49%"
"07/29/2019","1,809.12","1,830.63","1,834.54","1,804.63","27.45M","-1.57%"
"07/26/2019","1,837.95","1,828.48","1,839.62","1,825.94","34.17M","-0.15%"
"07/25/2019","1,840.70","1,846.58","1,849.83","1,830.01","38.93M","0.12%"
"07/24/2019","1,838.55","1,851.19","1,861.50","1,836.27","33.06M","-0.98%"
"07/23/2019","1,856.78","1,850.77","1,861.31","1,849.89","36.69M","0.52%"
"07/22/2019","1,847.22","1,842.73","1,851.94","1,840.67","25.77M","0.06%"
"07/19/2019","1,846.07","1,835.18","1,848.83","1,831.90","29.68M","1.38%"
"07/18/2019","1,820.94","1,822.37","1,825.71","1,812.83","23.22M","-0.19%"
"07/17/2019","1,824.44","1,827.31","1,829.24","1,817.12","24.11M","-0.94%"
"07/16/2019","1,841.74","1,832.64","1,844.20","1,829.13","27.73M","0.48%"
"07/15/2019","1,832.92","1,825.73","1,838.11","1,820.22","21.65M","0.13%"
"07/12/2019","1,830.58","1,827.81","1,834.62","1,821.13","23.14M","0.34%"
"07/11/2019","1,824.42","1,817.47","1,832.62","1,816.86","40.34M","1.12%"
"07/10/2019","1,804.27","1,808.47","1,816.00","1,804.23","30.49M","0.45%"
"07/09/2019","1,796.27","1,806.23","1,811.15","1,796.27","29.08M","-0.08%"
"07/08/2019","1,797.65","1,813.02","1,815.92","1,796.20","28.64M","-2.04%"
"07/05/2019","1,835.02","1,837.57","1,840.81","1,823.24","25.99M","-0.11%"
"07/04/2019","1,837.04","1,824.36","1,837.57","1,820.44","23.12M","0.94%"
